Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-02-06,31.4401364097216,31.621243179907854,31.3242281873412,31.41840171813965,12554600,0.0,0.0
2006-02-07,31.585009950567688,31.780605534136004,31.48359063245134,31.505325317382812,13914200,0.0,0.0
2006-02-08,31.54879265506569,31.67194667175567,31.39666366103936,31.635723114013672,11101600,0.0,0.0
2006-02-09,31.693684826818146,31.9110123986509,31.657464025424357,31.75164031982422,13766200,0.0,0.0
2006-02-10,31.708171100819882,31.889277856412775,31.447376930610954,31.81683349609375,9038900,0.0,0.0
2006-02-13,31.657470703125,31.845820568184486,31.36769870391131,31.657470703125,8329500,0.0,0.0
2006-02-14,31.81683605279936,32.22976203112484,31.679195902337533,31.990699768066406,17049200,0.0,0.0
2006-02-15,31.925505057754723,32.30945057230469,31.8240856964374,32.135589599609375,12818500,0.0,0.0
2006-02-16,32.15731387260561,32.4036191614958,32.077626460983836,32.37464141845703,11773700,0.0,0.0
2006-02-17,32.43984720258807,32.83103853055799,32.25149735771568,32.3529167175293,11938900,0.0,0.0
2006-02-21,32.389132092087586,32.47606532604081,32.24424613230205,32.273223876953125,10380500,0.0,0.0
2006-02-22,32.200787097035416,32.722372761451034,32.17905240356001,32.65717697143555,14729600,0.0,0.0
2006-02-23,32.73685906780869,33.10631842973463,32.59921891612315,32.86725616455078,17345700,0.0,0.0
2006-02-24,32.55574888516983,33.24395509843382,32.55574888516983,33.12080383300781,13832400,0.0,0.0
2006-02-27,33.20775038077423,33.323658648141965,33.10633099226134,33.30916976928711,18460200,0.0,0.0
2006-02-28,33.15702834871757,33.35986705026663,33.142539475254054,33.21498107910156,20699000,0.0,0.0
2006-03-01,33.2149716157042,33.44934385690033,33.18567718100781,33.398075103759766,15576200,0.5,0.0
2006-03-02,33.14174464054062,33.22231065465278,32.885400771946145,33.068504333496094,14367400,0.0,0.0
2006-03-03,33.017241787823174,33.31753157365124,32.94399867302416,33.09780502319336,12399500,0.0,0.0
2006-03-06,33.031891237250974,33.17837468896493,32.892733494789425,33.112457275390625,11318400,0.0,0.0
2006-03-07,33.024563894592745,33.46401139688185,32.99526664938971,33.412742614746094,12823300,0.0,0.0
2006-03-08,33.26625595260902,33.610491565472586,33.26625595260902,33.47865676879883,14201200,0.0,0.0
2006-03-09,33.47132104453293,33.55188703321356,33.31751477192686,33.36145782470703,11922800,0.0,0.0
2006-03-10,33.32484346666067,33.69105053772287,33.28822331834209,33.6544303894043,12535400,0.0,0.0
2006-03-13,33.661754789416875,33.83753542062944,33.5372457208425,33.6471061706543,10090800,0.0,0.0
2006-03-14,33.69106607928353,33.9840329888531,33.64712020466624,33.881492614746094,14364000,0.0,0.0
2006-03-15,33.72765844132453,34.079216766639554,33.59582372008924,33.984004974365234,11344600,0.0,0.0
2006-03-16,34.04260561864124,34.350220980711086,34.04260561864124,34.2476806640625,13005400,0.0,0.0
2006-03-17,34.40149230643678,34.408815218345715,34.15979430436958,34.350223541259766,18970500,0.0,0.0
2006-03-20,34.2110630695466,34.42346383610174,34.101202627283634,34.350223541259766,11243700,0.0,0.0
2006-03-21,34.24036674255651,34.408821687514624,34.07191179759839,34.1085319519043,11774400,0.0,0.0
2006-03-22,33.9840170576351,34.52600195414273,33.9840170576351,34.416141510009766,11157200,0.0,0.0
2006-03-23,34.32825587983711,34.40882189616185,34.13782939992848,34.2037467956543,10793900,0.0,0.0
2006-03-24,34.26233183472361,34.42346383610174,34.17444292212561,34.350223541259766,10495000,0.0,0.0
2006-03-27,34.26967351014519,34.37221108828145,34.18178176265172,34.29164505004883,10450300,0.0,0.0
2006-03-28,34.1451469320303,34.430788003845954,33.65443079202665,33.7349967956543,16077800,0.0,0.0
2006-03-29,33.81554792551239,33.910762513417126,33.48596391050038,33.6690673828125,11836200,0.0,0.0
2006-03-30,33.54456845319154,33.75696923320123,33.310196142125086,33.40541076660156,12825100,0.0,0.0
2006-03-31,33.49331424120959,33.63247198827855,33.288239078383846,33.354156494140625,10968800,0.0,0.0
2006-04-03,33.58118553970278,33.85218076972845,33.44202786580658,33.4566764831543,11832600,0.0,0.0
2006-04-04,33.5226018812922,33.984023659312605,33.47133310528313,33.90345764160156,8823300,0.0,0.0
2006-04-05,33.84486255227328,34.10853213499303,33.84486255227328,34.0938835144043,10249600,0.0,0.0
2006-04-06,33.93274283351031,34.07922340212622,33.72766500836008,33.837528228759766,7795500,0.0,0.0
2006-04-07,33.99134563732796,34.03529149867152,33.44203494325741,33.50062942504883,9406600,0.0,0.0
2006-04-10,33.61780848004112,33.7496432422325,33.42737924845886,33.4566764831543,9100000,0.0,0.0
2006-04-11,33.50794735550474,33.691050892966516,33.28822366933826,33.36878967285156,8570000,0.0,0.0
2006-04-12,33.41272646584899,33.63245011079765,33.37610632401384,33.48596954345703,7157300,0.0,0.0
2006-04-13,33.49332046508789,33.639803948872014,33.398105781537204,33.49332046508789,7642200,0.0,0.0
2006-04-17,33.654431474812405,33.654431474812405,33.1490639123272,33.31019592285156,10618900,0.0,0.0
2006-04-18,33.28823215523863,33.91078322373528,33.22963766722348,33.66176223754883,16356400,0.0,0.0
2006-04-19,33.595837800415836,33.86683305983011,33.537246118608955,33.7276725769043,10493000,0.0,0.0
2006-04-20,34.13049425566181,34.31359777161265,33.771612929003396,33.896121978759766,17056200,0.0,0.0
